/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/1/22/,confirmed and probable,Brown County,0,0,0,22931
2020/1/23/,confirmed and probable,Brown County,0,0,0,22931
2020/1/24/,confirmed and probable,Brown County,0,0,0,22931
2020/1/25/,confirmed and probable,Brown County,0,0,0,22931
2020/1/26/,confirmed and probable,Brown County,0,0,0,22931
2020/1/27/,confirmed and probable,Brown County,0,0,0,22931
2020/1/28/,confirmed and probable,Brown County,0,0,0,22931
2020/1/29/,confirmed and probable,Brown County,0,0,0,22931
2020/1/30/,confirmed and probable,Brown County,0,0,0,22931
2020/1/31/,confirmed and probable,Brown County,0,0,0,22931
2020/2/1/,confirmed and probable,Brown County,0,0,0,22931
2020/2/2/,confirmed and probable,Brown County,0,0,0,22931
2020/2/3/,confirmed and probable,Brown County,0,0,0,22931
2020/2/4/,confirmed and probable,Brown County,0,0,0,22931
2020/2/5/,confirmed and probable,Brown County,0,0,0,22931
2020/2/6/,confirmed and probable,Brown County,0,0,0,22931
2020/2/7/,confirmed and probable,Brown County,0,0,0,22931
2020/2/8/,confirmed and probable,Brown County,0,0,0,22931
2020/2/9/,confirmed and probable,Brown County,0,0,0,22931
2020/2/10/,confirmed and probable,Brown County,0,0,0,22931
2020/2/11/,confirmed and probable,Brown County,0,0,0,22931
2020/2/12/,confirmed and probable,Brown County,0,0,0,22931
2020/2/13/,confirmed and probable,Brown County,0,0,0,22931
2020/2/14/,confirmed and probable,Brown County,0,0,0,22931
2020/2/15/,confirmed and probable,Brown County,0,0,0,22931
2020/2/16/,confirmed and probable,Brown County,0,0,0,22931
2020/2/17/,confirmed and probable,Brown County,0,0,0,22931
2020/2/18/,confirmed and probable,Brown County,0,0,0,22931
2020/2/19/,confirmed and probable,Brown County,0,0,0,22931
2020/2/20/,confirmed and probable,Brown County,0,0,0,22931
2020/2/21/,confirmed and probable,Brown County,1,1,0,22931
2020/2/22/,confirmed and probable,Brown County,1,1,0,22931
2020/2/23/,confirmed and probable,Brown County,1,1,0,22931
2020/2/24/,confirmed and probable,Brown County,1,1,0,22931
2020/2/25/,confirmed and probable,Brown County,1,1,0,22931
2020/2/26/,confirmed and probable,Brown County,1,1,0,22931
2020/2/27/,confirmed and probable,Brown County,1,1,0,22931
2020/2/28/,confirmed and probable,Brown County,1,1,0,22931
2020/2/29/,confirmed and probable,Brown County,1,1,0,22931
2020/3/1/,confirmed and probable,Brown County,1,1,0,22931
2020/3/2/,confirmed and probable,Brown County,1,1,0,22931
2020/3/3/,confirmed and probable,Brown County,1,1,0,22931
2020/3/4/,confirmed and probable,Brown County,1,1,0,22931
2020/3/5/,confirmed and probable,Brown County,1,1,0,22931
2020/3/6/,confirmed and probable,Brown County,1,1,0,22931
2020/3/7/,confirmed and probable,Brown County,1,1,0,22931
2020/3/8/,confirmed and probable,Brown County,1,1,0,22931
2020/3/9/,confirmed and probable,Brown County,1,1,0,22931
2020/3/10/,confirmed and probable,Brown County,2,2,0,22931
2020/3/11/,confirmed and probable,Brown County,3,2,1,22931
2020/3/12/,confirmed and probable,Brown County,6,5,1,22931
2020/3/13/,confirmed and probable,Brown County,6,5,1,22931
2020/3/14/,confirmed and probable,Brown County,7,6,1,22931
2020/3/15/,confirmed and probable,Brown County,7,6,1,22931
2020/3/16/,confirmed and probable,Brown County,10,8,2,22931
2020/3/17/,confirmed and probable,Brown County,17,15,2,22931
2020/3/18/,confirmed and probable,Brown County,18,16,2,22931
2020/3/19/,confirmed and probable,Brown County,18,16,2,22931
2020/3/20/,confirmed and probable,Brown County,19,17,2,22931
2020/3/21/,confirmed and probable,Brown County,22,18,4,22931
2020/3/22/,confirmed and probable,Brown County,25,21,4,22931
2020/3/23/,confirmed and probable,Brown County,28,24,4,22931
2020/3/24/,confirmed and probable,Brown County,32,27,5,22931
2020/3/25/,confirmed and probable,Brown County,37,31,6,22931
2020/3/26/,confirmed and probable,Brown County,42,36,6,22931
2020/3/27/,confirmed and probable,Brown County,53,47,6,22931
2020/3/28/,confirmed and probable,Brown County,57,50,7,22931
2020/3/29/,confirmed and probable,Brown County,64,55,9,22931
2020/3/30/,confirmed and probable,Brown County,71,62,9,22931
2020/3/31/,confirmed and probable,Brown County,79,69,10,22931
2020/4/1/,confirmed and probable,Brown County,92,80,12,22931
2020/4/2/,confirmed and probable,Brown County,100,87,13,22931
2020/4/3/,confirmed and probable,Brown County,109,95,14,22931
2020/4/4/,confirmed and probable,Brown County,119,103,16,22931
2020/4/5/,confirmed and probable,Brown County,128,111,17,22931
2020/4/6/,confirmed and probable,Brown County,151,132,19,22931
2020/4/7/,confirmed and probable,Brown County,171,150,21,22931
2020/4/8/,confirmed and probable,Brown County,185,161,24,22931
2020/4/9/,confirmed and probable,Brown County,209,184,25,22931
2020/4/10/,confirmed and probable,Brown County,246,221,25,22931
2020/4/11/,confirmed and probable,Brown County,283,255,28,22931
2020/4/12/,confirmed and probable,Brown County,315,284,31,22931
2020/4/13/,confirmed and probable,Brown County,380,346,34,22931
2020/4/14/,confirmed and probable,Brown County,450,414,36,22931
2020/4/15/,confirmed and probable,Brown County,501,465,36,22931
2020/4/16/,confirmed and probable,Brown County,580,542,38,22931
2020/4/17/,confirmed and probable,Brown County,677,635,42,22931
2020/4/18/,confirmed and probable,Brown County,731,688,43,22931
2020/4/19/,confirmed and probable,Brown County,803,760,43,22931
2020/4/20/,confirmed and probable,Brown County,914,871,43,22931
2020/4/21/,confirmed and probable,Brown County,995,951,44,22931
2020/4/22/,confirmed and probable,Brown County,1076,1024,52,22931
2020/4/23/,confirmed and probable,Brown County,1151,1097,54,22931
2020/4/24/,confirmed and probable,Brown County,1251,1194,57,22931
2020/4/25/,confirmed and probable,Brown County,1305,1248,57,22931
2020/4/26/,confirmed and probable,Brown County,1371,1310,61,22931
2020/4/27/,confirmed and probable,Brown County,1442,1381,61,22931
2020/4/28/,confirmed and probable,Brown County,1559,1493,66,22931
2020/4/29/,confirmed and probable,Brown County,1678,1610,68,22931
2020/4/30/,confirmed and probable,Brown County,1781,1709,72,22931
2020/5/1/,confirmed and probable,Brown County,1857,1784,73,22931
2020/5/2/,confirmed and probable,Brown County,1913,1837,76,22931
2020/5/3/,confirmed and probable,Brown County,1953,1877,76,22931
2020/5/4/,confirmed and probable,Brown County,2002,1923,79,22931
2020/5/5/,confirmed and probable,Brown County,2045,1966,79,22931
2020/5/6/,confirmed and probable,Brown County,2085,2005,80,22931
2020/5/7/,confirmed and probable,Brown County,2113,2033,80,22931
2020/5/8/,confirmed and probable,Brown County,2155,2075,80,22931
2020/5/9/,confirmed and probable,Brown County,2172,2091,81,22931
2020/5/10/,confirmed and probable,Brown County,2198,2117,81,22931
2020/5/11/,confirmed and probable,Brown County,2225,2144,81,22931
2020/5/12/,confirmed and probable,Brown County,2255,2172,83,22931
2020/5/13/,confirmed and probable,Brown County,2286,2201,85,22931
2020/5/14/,confirmed and probable,Brown County,2313,2228,85,22931
2020/5/15/,confirmed and probable,Brown County,2344,2257,87,22931
