/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/1/22/,confirmed and probable,Dane County,0,0,0,27120
2020/1/23/,confirmed and probable,Dane County,0,0,0,27120
2020/1/24/,confirmed and probable,Dane County,0,0,0,27120
2020/1/25/,confirmed and probable,Dane County,0,0,0,27120
2020/1/26/,confirmed and probable,Dane County,0,0,0,27120
2020/1/27/,confirmed and probable,Dane County,0,0,0,27120
2020/1/28/,confirmed and probable,Dane County,0,0,0,27120
2020/1/29/,confirmed and probable,Dane County,1,1,0,27120
2020/1/30/,confirmed and probable,Dane County,1,1,0,27120
2020/1/31/,confirmed and probable,Dane County,1,1,0,27120
2020/2/1/,confirmed and probable,Dane County,1,1,0,27120
2020/2/2/,confirmed and probable,Dane County,1,1,0,27120
2020/2/3/,confirmed and probable,Dane County,1,1,0,27120
2020/2/4/,confirmed and probable,Dane County,1,1,0,27120
2020/2/5/,confirmed and probable,Dane County,1,1,0,27120
2020/2/6/,confirmed and probable,Dane County,1,1,0,27120
2020/2/7/,confirmed and probable,Dane County,1,1,0,27120
2020/2/8/,confirmed and probable,Dane County,1,1,0,27120
2020/2/9/,confirmed and probable,Dane County,1,1,0,27120
2020/2/10/,confirmed and probable,Dane County,1,1,0,27120
2020/2/11/,confirmed and probable,Dane County,1,1,0,27120
2020/2/12/,confirmed and probable,Dane County,1,1,0,27120
2020/2/13/,confirmed and probable,Dane County,1,1,0,27120
2020/2/14/,confirmed and probable,Dane County,1,1,0,27120
2020/2/15/,confirmed and probable,Dane County,1,1,0,27120
2020/2/16/,confirmed and probable,Dane County,1,1,0,27120
2020/2/17/,confirmed and probable,Dane County,1,1,0,27120
2020/2/18/,confirmed and probable,Dane County,1,1,0,27120
2020/2/19/,confirmed and probable,Dane County,1,1,0,27120
2020/2/20/,confirmed and probable,Dane County,1,1,0,27120
2020/2/21/,confirmed and probable,Dane County,1,1,0,27120
2020/2/22/,confirmed and probable,Dane County,1,1,0,27120
2020/2/23/,confirmed and probable,Dane County,1,1,0,27120
2020/2/24/,confirmed and probable,Dane County,1,1,0,27120
2020/2/25/,confirmed and probable,Dane County,1,1,0,27120
2020/2/26/,confirmed and probable,Dane County,1,1,0,27120
2020/2/27/,confirmed and probable,Dane County,1,1,0,27120
2020/2/28/,confirmed and probable,Dane County,2,2,0,27120
2020/2/29/,confirmed and probable,Dane County,2,2,0,27120
2020/3/1/,confirmed and probable,Dane County,2,2,0,27120
2020/3/2/,confirmed and probable,Dane County,3,3,0,27120
2020/3/3/,confirmed and probable,Dane County,4,4,0,27120
2020/3/4/,confirmed and probable,Dane County,5,5,0,27120
2020/3/5/,confirmed and probable,Dane County,5,5,0,27120
2020/3/6/,confirmed and probable,Dane County,10,9,1,27120
2020/3/7/,confirmed and probable,Dane County,13,11,2,27120
2020/3/8/,confirmed and probable,Dane County,14,11,3,27120
2020/3/9/,confirmed and probable,Dane County,19,14,5,27120
2020/3/10/,confirmed and probable,Dane County,20,15,5,27120
2020/3/11/,confirmed and probable,Dane County,26,21,5,27120
2020/3/12/,confirmed and probable,Dane County,33,27,6,27120
2020/3/13/,confirmed and probable,Dane County,45,38,7,27120
2020/3/14/,confirmed and probable,Dane County,65,55,10,27120
2020/3/15/,confirmed and probable,Dane County,86,73,13,27120
2020/3/16/,confirmed and probable,Dane County,106,89,17,27120
2020/3/17/,confirmed and probable,Dane County,139,114,25,27120
2020/3/18/,confirmed and probable,Dane County,165,132,33,27120
2020/3/19/,confirmed and probable,Dane County,192,151,41,27120
2020/3/20/,confirmed and probable,Dane County,209,166,43,27120
2020/3/21/,confirmed and probable,Dane County,233,181,52,27120
2020/3/22/,confirmed and probable,Dane County,256,198,58,27120
2020/3/23/,confirmed and probable,Dane County,284,220,64,27120
2020/3/24/,confirmed and probable,Dane County,294,227,67,27120
2020/3/25/,confirmed and probable,Dane County,311,240,71,27120
2020/3/26/,confirmed and probable,Dane County,332,254,78,27120
2020/3/27/,confirmed and probable,Dane County,356,274,82,27120
2020/3/28/,confirmed and probable,Dane County,375,286,89,27120
2020/3/29/,confirmed and probable,Dane County,394,301,93,27120
2020/3/30/,confirmed and probable,Dane County,407,311,96,27120
2020/3/31/,confirmed and probable,Dane County,416,316,100,27120
2020/4/1/,confirmed and probable,Dane County,424,322,102,27120
2020/4/2/,confirmed and probable,Dane County,442,335,107,27120
2020/4/3/,confirmed and probable,Dane County,458,344,114,27120
2020/4/4/,confirmed and probable,Dane County,471,355,116,27120
2020/4/5/,confirmed and probable,Dane County,476,359,117,27120
2020/4/6/,confirmed and probable,Dane County,489,369,120,27120
2020/4/7/,confirmed and probable,Dane County,499,377,122,27120
2020/4/8/,confirmed and probable,Dane County,501,378,123,27120
2020/4/9/,confirmed and probable,Dane County,507,384,123,27120
2020/4/10/,confirmed and probable,Dane County,515,389,126,27120
2020/4/11/,confirmed and probable,Dane County,521,390,131,27120
2020/4/12/,confirmed and probable,Dane County,526,395,131,27120
2020/4/13/,confirmed and probable,Dane County,529,397,132,27120
2020/4/14/,confirmed and probable,Dane County,531,399,132,27120
2020/4/15/,confirmed and probable,Dane County,537,404,133,27120
2020/4/16/,confirmed and probable,Dane County,542,409,133,27120
2020/4/17/,confirmed and probable,Dane County,548,414,134,27120
2020/4/18/,confirmed and probable,Dane County,557,423,134,27120
2020/4/19/,confirmed and probable,Dane County,562,426,136,27120
2020/4/20/,confirmed and probable,Dane County,581,445,136,27120
2020/4/21/,confirmed and probable,Dane County,586,449,137,27120
2020/4/22/,confirmed and probable,Dane County,600,461,139,27120
2020/4/23/,confirmed and probable,Dane County,610,470,140,27120
2020/4/24/,confirmed and probable,Dane County,627,485,142,27120
2020/4/25/,confirmed and probable,Dane County,641,498,143,27120
2020/4/26/,confirmed and probable,Dane County,650,507,143,27120
2020/4/27/,confirmed and probable,Dane County,656,512,144,27120
2020/4/28/,confirmed and probable,Dane County,665,520,145,27120
2020/4/29/,confirmed and probable,Dane County,667,522,145,27120
2020/4/30/,confirmed and probable,Dane County,673,527,146,27120
2020/5/1/,confirmed and probable,Dane County,677,530,147,27120
2020/5/2/,confirmed and probable,Dane County,683,533,150,27120
2020/5/3/,confirmed and probable,Dane County,687,537,150,27120
2020/5/4/,confirmed and probable,Dane County,695,541,154,27120
2020/5/5/,confirmed and probable,Dane County,696,542,154,27120
2020/5/6/,confirmed and probable,Dane County,705,550,155,27120
2020/5/7/,confirmed and probable,Dane County,715,558,157,27120
2020/5/8/,confirmed and probable,Dane County,725,565,160,27120
2020/5/9/,confirmed and probable,Dane County,738,574,164,27120
2020/5/10/,confirmed and probable,Dane County,741,577,164,27120
2020/5/11/,confirmed and probable,Dane County,753,587,166,27120
2020/5/12/,confirmed and probable,Dane County,759,593,166,27120
2020/5/13/,confirmed and probable,Dane County,781,614,167,27120
2020/5/14/,confirmed and probable,Dane County,810,635,175,27120
2020/5/15/,confirmed and probable,Dane County,833,654,179,27120
2020/5/16/,confirmed and probable,Dane County,844,662,182,27120
2020/5/17/,confirmed and probable,Dane County,854,672,182,27120
2020/5/18/,confirmed and probable,Dane County,875,690,185,27120
2020/5/19/,confirmed and probable,Dane County,901,714,187,27120
2020/5/20/,confirmed and probable,Dane County,913,725,188,27120
2020/5/21/,confirmed and probable,Dane County,936,747,189,27120
2020/5/22/,confirmed and probable,Dane County,955,765,190,27120
2020/5/23/,confirmed and probable,Dane County,964,773,191,27120
2020/5/24/,confirmed and probable,Dane County,968,776,192,27120
2020/5/25/,confirmed and probable,Dane County,974,780,194,27120
2020/5/26/,confirmed and probable,Dane County,997,800,197,27120
2020/5/27/,confirmed and probable,Dane County,1020,822,198,27120
2020/5/28/,confirmed and probable,Dane County,1035,834,201,27120
2020/5/29/,confirmed and probable,Dane County,1051,849,202,27120
2020/5/30/,confirmed and probable,Dane County,1060,858,202,27120
2020/5/31/,confirmed and probable,Dane County,1067,865,202,27120
2020/6/1/,confirmed and probable,Dane County,1081,879,202,27120
2020/6/2/,confirmed and probable,Dane County,1110,906,204,27120
2020/6/3/,confirmed and probable,Dane County,1124,918,206,27120
2020/6/4/,confirmed and probable,Dane County,1154,943,211,27120
2020/6/5/,confirmed and probable,Dane County,1167,955,212,27120
2020/6/6/,confirmed and probable,Dane County,1189,975,214,27120
2020/6/7/,confirmed and probable,Dane County,1194,979,215,27120
2020/6/8/,confirmed and probable,Dane County,1216,999,217,27120
2020/6/9/,confirmed and probable,Dane County,1267,1050,217,27120
2020/6/10/,confirmed and probable,Dane County,1277,1059,218,27120
2020/6/11/,confirmed and probable,Dane County,1300,1078,222,27120
2020/6/12/,confirmed and probable,Dane County,1316,1093,223,27120
2020/6/13/,confirmed and probable,Dane County,1330,1104,226,27120
2020/6/14/,confirmed and probable,Dane County,1348,1120,228,27120
2020/6/15/,confirmed and probable,Dane County,1397,1165,232,27120
2020/6/16/,confirmed and probable,Dane County,1439,1206,233,27120
2020/6/17/,confirmed and probable,Dane County,1470,1237,233,27120
2020/6/18/,confirmed and probable,Dane County,1509,1276,233,27120
2020/6/19/,confirmed and probable,Dane County,1551,1315,236,27120
2020/6/20/,confirmed and probable,Dane County,1609,1372,237,27120
2020/6/21/,confirmed and probable,Dane County,1669,1431,238,27120
2020/6/22/,confirmed and probable,Dane County,1788,1548,240,27120
2020/6/23/,confirmed and probable,Dane County,1930,1690,240,27120
2020/6/24/,confirmed and probable,Dane County,2068,1827,241,27120
2020/6/25/,confirmed and probable,Dane County,2184,1933,251,27120
2020/6/26/,confirmed and probable,Dane County,2295,2044,251,27120
2020/6/27/,confirmed and probable,Dane County,2400,2148,252,27120
2020/6/28/,confirmed and probable,Dane County,2454,2201,253,27120
2020/6/29/,confirmed and probable,Dane County,2607,2351,256,27120
2020/6/30/,confirmed and probable,Dane County,2732,2476,256,27120
2020/7/1/,confirmed and probable,Dane County,2841,2581,260,27120
2020/7/2/,confirmed and probable,Dane County,2919,2656,263,27120
2020/7/3/,confirmed and probable,Dane County,2992,2728,264,27120
2020/7/4/,confirmed and probable,Dane County,3037,2770,267,27120
2020/7/5/,confirmed and probable,Dane County,3086,2816,270,27120
2020/7/6/,confirmed and probable,Dane County,3181,2910,271,27120
2020/7/7/,confirmed and probable,Dane County,3289,3016,273,27120
2020/7/8/,confirmed and probable,Dane County,3378,3101,277,27120
2020/7/9/,confirmed and probable,Dane County,3455,3173,282,27120
