/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/1/22/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/1/23/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/1/24/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/1/25/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/1/26/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/1/27/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/1/28/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/1/29/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/1/30/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/1/31/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/1/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/2/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/3/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/4/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/5/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/6/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/7/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/8/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/9/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/10/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/11/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/12/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/13/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/14/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/15/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/16/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/17/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/18/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/19/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/20/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/21/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/22/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/23/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/24/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/25/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/26/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/27/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/28/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/2/29/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/3/1/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/3/2/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/3/3/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/3/4/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/3/5/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/3/6/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/3/7/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/3/8/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/3/9/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/3/10/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/3/11/,confirmed and probable,Eau Claire County,0,0,0,7674
2020/3/12/,confirmed and probable,Eau Claire County,1,1,0,7674
2020/3/13/,confirmed and probable,Eau Claire County,2,2,0,7674
2020/3/14/,confirmed and probable,Eau Claire County,2,2,0,7674
2020/3/15/,confirmed and probable,Eau Claire County,4,4,0,7674
2020/3/16/,confirmed and probable,Eau Claire County,5,5,0,7674
2020/3/17/,confirmed and probable,Eau Claire County,6,6,0,7674
2020/3/18/,confirmed and probable,Eau Claire County,7,7,0,7674
2020/3/19/,confirmed and probable,Eau Claire County,7,7,0,7674
2020/3/20/,confirmed and probable,Eau Claire County,7,7,0,7674
2020/3/21/,confirmed and probable,Eau Claire County,7,7,0,7674
2020/3/22/,confirmed and probable,Eau Claire County,8,8,0,7674
2020/3/23/,confirmed and probable,Eau Claire County,9,9,0,7674
2020/3/24/,confirmed and probable,Eau Claire County,12,12,0,7674
2020/3/25/,confirmed and probable,Eau Claire County,15,15,0,7674
2020/3/26/,confirmed and probable,Eau Claire County,17,17,0,7674
2020/3/27/,confirmed and probable,Eau Claire County,18,18,0,7674
2020/3/28/,confirmed and probable,Eau Claire County,19,19,0,7674
2020/3/29/,confirmed and probable,Eau Claire County,19,19,0,7674
2020/3/30/,confirmed and probable,Eau Claire County,19,19,0,7674
2020/3/31/,confirmed and probable,Eau Claire County,21,21,0,7674
2020/4/1/,confirmed and probable,Eau Claire County,21,21,0,7674
2020/4/2/,confirmed and probable,Eau Claire County,22,22,0,7674
2020/4/3/,confirmed and probable,Eau Claire County,22,22,0,7674
2020/4/4/,confirmed and probable,Eau Claire County,22,22,0,7674
2020/4/5/,confirmed and probable,Eau Claire County,22,22,0,7674
