/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/1/22/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/1/23/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/1/24/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/1/25/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/1/26/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/1/27/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/1/28/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/1/29/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/1/30/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/1/31/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/1/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/2/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/3/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/4/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/5/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/6/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/7/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/8/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/9/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/10/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/11/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/12/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/13/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/14/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/15/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/16/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/17/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/18/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/19/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/20/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/21/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/22/,confirmed and probable,Milwaukee County,0,0,0,70179
2020/2/23/,confirmed and probable,Milwaukee County,0,0,0,70179
