/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/1/22/,confirmed and probable,Rock County,0,0,0,9413
2020/1/23/,confirmed and probable,Rock County,0,0,0,9413
2020/1/24/,confirmed and probable,Rock County,0,0,0,9413
2020/1/25/,confirmed and probable,Rock County,0,0,0,9413
2020/1/26/,confirmed and probable,Rock County,0,0,0,9413
2020/1/27/,confirmed and probable,Rock County,0,0,0,9413
2020/1/28/,confirmed and probable,Rock County,0,0,0,9413
2020/1/29/,confirmed and probable,Rock County,0,0,0,9413
2020/1/30/,confirmed and probable,Rock County,0,0,0,9413
2020/1/31/,confirmed and probable,Rock County,0,0,0,9413
2020/2/1/,confirmed and probable,Rock County,0,0,0,9413
2020/2/2/,confirmed and probable,Rock County,0,0,0,9413
2020/2/3/,confirmed and probable,Rock County,0,0,0,9413
2020/2/4/,confirmed and probable,Rock County,0,0,0,9413
2020/2/5/,confirmed and probable,Rock County,0,0,0,9413
2020/2/6/,confirmed and probable,Rock County,0,0,0,9413
2020/2/7/,confirmed and probable,Rock County,0,0,0,9413
2020/2/8/,confirmed and probable,Rock County,0,0,0,9413
2020/2/9/,confirmed and probable,Rock County,0,0,0,9413
2020/2/10/,confirmed and probable,Rock County,0,0,0,9413
2020/2/11/,confirmed and probable,Rock County,0,0,0,9413
2020/2/12/,confirmed and probable,Rock County,0,0,0,9413
2020/2/13/,confirmed and probable,Rock County,0,0,0,9413
2020/2/14/,confirmed and probable,Rock County,0,0,0,9413
2020/2/15/,confirmed and probable,Rock County,0,0,0,9413
2020/2/16/,confirmed and probable,Rock County,0,0,0,9413
2020/2/17/,confirmed and probable,Rock County,0,0,0,9413
2020/2/18/,confirmed and probable,Rock County,0,0,0,9413
2020/2/19/,confirmed and probable,Rock County,0,0,0,9413
2020/2/20/,confirmed and probable,Rock County,0,0,0,9413
2020/2/21/,confirmed and probable,Rock County,0,0,0,9413
2020/2/22/,confirmed and probable,Rock County,0,0,0,9413
2020/2/23/,confirmed and probable,Rock County,0,0,0,9413
2020/2/24/,confirmed and probable,Rock County,0,0,0,9413
2020/2/25/,confirmed and probable,Rock County,0,0,0,9413
2020/2/26/,confirmed and probable,Rock County,0,0,0,9413
2020/2/27/,confirmed and probable,Rock County,0,0,0,9413
2020/2/28/,confirmed and probable,Rock County,0,0,0,9413
2020/2/29/,confirmed and probable,Rock County,0,0,0,9413
2020/3/1/,confirmed and probable,Rock County,0,0,0,9413
2020/3/2/,confirmed and probable,Rock County,1,1,0,9413
2020/3/3/,confirmed and probable,Rock County,1,1,0,9413
2020/3/4/,confirmed and probable,Rock County,1,1,0,9413
2020/3/5/,confirmed and probable,Rock County,1,1,0,9413
2020/3/6/,confirmed and probable,Rock County,1,1,0,9413
2020/3/7/,confirmed and probable,Rock County,1,1,0,9413
2020/3/8/,confirmed and probable,Rock County,2,1,1,9413
2020/3/9/,confirmed and probable,Rock County,3,1,2,9413
2020/3/10/,confirmed and probable,Rock County,5,3,2,9413
2020/3/11/,confirmed and probable,Rock County,6,4,2,9413
2020/3/12/,confirmed and probable,Rock County,6,4,2,9413
2020/3/13/,confirmed and probable,Rock County,6,4,2,9413
2020/3/14/,confirmed and probable,Rock County,7,5,2,9413
2020/3/15/,confirmed and probable,Rock County,9,7,2,9413
2020/3/16/,confirmed and probable,Rock County,14,12,2,9413
2020/3/17/,confirmed and probable,Rock County,14,12,2,9413
2020/3/18/,confirmed and probable,Rock County,16,13,3,9413
2020/3/19/,confirmed and probable,Rock County,17,14,3,9413
2020/3/20/,confirmed and probable,Rock County,25,18,7,9413
2020/3/21/,confirmed and probable,Rock County,28,20,8,9413
2020/3/22/,confirmed and probable,Rock County,29,21,8,9413
2020/3/23/,confirmed and probable,Rock County,32,24,8,9413
2020/3/24/,confirmed and probable,Rock County,33,25,8,9413
2020/3/25/,confirmed and probable,Rock County,39,30,9,9413
2020/3/26/,confirmed and probable,Rock County,40,31,9,9413
2020/3/27/,confirmed and probable,Rock County,42,33,9,9413
2020/3/28/,confirmed and probable,Rock County,43,34,9,9413
2020/3/29/,confirmed and probable,Rock County,46,37,9,9413
2020/3/30/,confirmed and probable,Rock County,52,42,10,9413
2020/3/31/,confirmed and probable,Rock County,55,45,10,9413
2020/4/1/,confirmed and probable,Rock County,57,47,10,9413
2020/4/2/,confirmed and probable,Rock County,61,48,13,9413
2020/4/3/,confirmed and probable,Rock County,65,50,15,9413
2020/4/4/,confirmed and probable,Rock County,69,54,15,9413
2020/4/5/,confirmed and probable,Rock County,69,54,15,9413
2020/4/6/,confirmed and probable,Rock County,73,57,16,9413
2020/4/7/,confirmed and probable,Rock County,75,58,17,9413
2020/4/8/,confirmed and probable,Rock County,81,63,18,9413
2020/4/9/,confirmed and probable,Rock County,84,64,20,9413
2020/4/10/,confirmed and probable,Rock County,94,72,22,9413
2020/4/11/,confirmed and probable,Rock County,99,76,23,9413
2020/4/12/,confirmed and probable,Rock County,108,83,25,9413
2020/4/13/,confirmed and probable,Rock County,121,95,26,9413
2020/4/14/,confirmed and probable,Rock County,127,100,27,9413
2020/4/15/,confirmed and probable,Rock County,131,103,28,9413
2020/4/16/,confirmed and probable,Rock County,137,108,29,9413
2020/4/17/,confirmed and probable,Rock County,149,118,31,9413
2020/4/18/,confirmed and probable,Rock County,158,126,32,9413
2020/4/19/,confirmed and probable,Rock County,168,135,33,9413
2020/4/20/,confirmed and probable,Rock County,193,158,35,9413
2020/4/21/,confirmed and probable,Rock County,221,178,43,9413
2020/4/22/,confirmed and probable,Rock County,244,200,44,9413
2020/4/23/,confirmed and probable,Rock County,262,218,44,9413
2020/4/24/,confirmed and probable,Rock County,286,241,45,9413
2020/4/25/,confirmed and probable,Rock County,293,247,46,9413
2020/4/26/,confirmed and probable,Rock County,305,258,47,9413
2020/4/27/,confirmed and probable,Rock County,325,277,48,9413
2020/4/28/,confirmed and probable,Rock County,359,308,51,9413
2020/4/29/,confirmed and probable,Rock County,386,335,51,9413
2020/4/30/,confirmed and probable,Rock County,399,347,52,9413
2020/5/1/,confirmed and probable,Rock County,414,359,55,9413
2020/5/2/,confirmed and probable,Rock County,422,367,55,9413
2020/5/3/,confirmed and probable,Rock County,429,373,56,9413
