/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/1/22/,confirmed and probable,Waukesha County,0,0,0,27462
2020/1/23/,confirmed and probable,Waukesha County,0,0,0,27462
2020/1/24/,confirmed and probable,Waukesha County,0,0,0,27462
2020/1/25/,confirmed and probable,Waukesha County,0,0,0,27462
2020/1/26/,confirmed and probable,Waukesha County,0,0,0,27462
2020/1/27/,confirmed and probable,Waukesha County,0,0,0,27462
2020/1/28/,confirmed and probable,Waukesha County,0,0,0,27462
2020/1/29/,confirmed and probable,Waukesha County,0,0,0,27462
2020/1/30/,confirmed and probable,Waukesha County,0,0,0,27462
2020/1/31/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/1/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/2/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/3/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/4/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/5/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/6/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/7/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/8/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/9/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/10/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/11/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/12/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/13/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/14/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/15/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/16/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/17/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/18/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/19/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/20/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/21/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/22/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/23/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/24/,confirmed and probable,Waukesha County,0,0,0,27462
2020/2/25/,confirmed and probable,Waukesha County,1,1,0,27462
2020/2/26/,confirmed and probable,Waukesha County,1,1,0,27462
2020/2/27/,confirmed and probable,Waukesha County,1,1,0,27462
2020/2/28/,confirmed and probable,Waukesha County,1,1,0,27462
2020/2/29/,confirmed and probable,Waukesha County,1,1,0,27462
2020/3/1/,confirmed and probable,Waukesha County,3,2,1,27462
2020/3/2/,confirmed and probable,Waukesha County,3,2,1,27462
2020/3/3/,confirmed and probable,Waukesha County,3,2,1,27462
2020/3/4/,confirmed and probable,Waukesha County,4,3,1,27462
2020/3/5/,confirmed and probable,Waukesha County,4,3,1,27462
2020/3/6/,confirmed and probable,Waukesha County,4,3,1,27462
2020/3/7/,confirmed and probable,Waukesha County,5,4,1,27462
2020/3/8/,confirmed and probable,Waukesha County,7,6,1,27462
2020/3/9/,confirmed and probable,Waukesha County,10,8,2,27462
2020/3/10/,confirmed and probable,Waukesha County,13,11,2,27462
2020/3/11/,confirmed and probable,Waukesha County,15,13,2,27462
2020/3/12/,confirmed and probable,Waukesha County,22,19,3,27462
2020/3/13/,confirmed and probable,Waukesha County,27,24,3,27462
2020/3/14/,confirmed and probable,Waukesha County,40,35,5,27462
2020/3/15/,confirmed and probable,Waukesha County,47,41,6,27462
2020/3/16/,confirmed and probable,Waukesha County,58,51,7,27462
2020/3/17/,confirmed and probable,Waukesha County,70,60,10,27462
2020/3/18/,confirmed and probable,Waukesha County,88,73,15,27462
2020/3/19/,confirmed and probable,Waukesha County,98,82,16,27462
2020/3/20/,confirmed and probable,Waukesha County,115,99,16,27462
2020/3/21/,confirmed and probable,Waukesha County,131,113,18,27462
2020/3/22/,confirmed and probable,Waukesha County,143,122,21,27462
2020/3/23/,confirmed and probable,Waukesha County,157,130,27,27462
2020/3/24/,confirmed and probable,Waukesha County,168,138,30,27462
2020/3/25/,confirmed and probable,Waukesha County,180,146,34,27462
2020/3/26/,confirmed and probable,Waukesha County,190,154,36,27462
2020/3/27/,confirmed and probable,Waukesha County,202,163,39,27462
2020/3/28/,confirmed and probable,Waukesha County,212,169,43,27462
2020/3/29/,confirmed and probable,Waukesha County,220,174,46,27462
2020/3/30/,confirmed and probable,Waukesha County,235,181,54,27462
2020/3/31/,confirmed and probable,Waukesha County,246,187,59,27462
2020/4/1/,confirmed and probable,Waukesha County,261,196,65,27462
2020/4/2/,confirmed and probable,Waukesha County,281,209,72,27462
2020/4/3/,confirmed and probable,Waukesha County,298,217,81,27462
2020/4/4/,confirmed and probable,Waukesha County,308,224,84,27462
2020/4/5/,confirmed and probable,Waukesha County,320,232,88,27462
2020/4/6/,confirmed and probable,Waukesha County,332,241,91,27462
2020/4/7/,confirmed and probable,Waukesha County,341,248,93,27462
2020/4/8/,confirmed and probable,Waukesha County,352,255,97,27462
2020/4/9/,confirmed and probable,Waukesha County,362,261,101,27462
2020/4/10/,confirmed and probable,Waukesha County,375,269,106,27462
2020/4/11/,confirmed and probable,Waukesha County,383,274,109,27462
