/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/1/22/,confirmed and probable,Winnebago County,0,0,0,14045
2020/1/23/,confirmed and probable,Winnebago County,0,0,0,14045
2020/1/24/,confirmed and probable,Winnebago County,0,0,0,14045
2020/1/25/,confirmed and probable,Winnebago County,0,0,0,14045
2020/1/26/,confirmed and probable,Winnebago County,0,0,0,14045
2020/1/27/,confirmed and probable,Winnebago County,0,0,0,14045
2020/1/28/,confirmed and probable,Winnebago County,0,0,0,14045
2020/1/29/,confirmed and probable,Winnebago County,0,0,0,14045
2020/1/30/,confirmed and probable,Winnebago County,0,0,0,14045
2020/1/31/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/1/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/2/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/3/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/4/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/5/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/6/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/7/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/8/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/9/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/10/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/11/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/12/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/13/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/14/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/15/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/16/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/17/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/18/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/19/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/20/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/21/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/22/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/23/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/24/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/25/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/26/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/27/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/28/,confirmed and probable,Winnebago County,0,0,0,14045
2020/2/29/,confirmed and probable,Winnebago County,0,0,0,14045
2020/3/1/,confirmed and probable,Winnebago County,0,0,0,14045
2020/3/2/,confirmed and probable,Winnebago County,0,0,0,14045
2020/3/3/,confirmed and probable,Winnebago County,0,0,0,14045
2020/3/4/,confirmed and probable,Winnebago County,0,0,0,14045
2020/3/5/,confirmed and probable,Winnebago County,0,0,0,14045
2020/3/6/,confirmed and probable,Winnebago County,2,2,0,14045
2020/3/7/,confirmed and probable,Winnebago County,3,3,0,14045
2020/3/8/,confirmed and probable,Winnebago County,3,3,0,14045
2020/3/9/,confirmed and probable,Winnebago County,3,3,0,14045
2020/3/10/,confirmed and probable,Winnebago County,4,4,0,14045
2020/3/11/,confirmed and probable,Winnebago County,4,4,0,14045
2020/3/12/,confirmed and probable,Winnebago County,4,4,0,14045
2020/3/13/,confirmed and probable,Winnebago County,6,6,0,14045
2020/3/14/,confirmed and probable,Winnebago County,9,9,0,14045
2020/3/15/,confirmed and probable,Winnebago County,11,11,0,14045
2020/3/16/,confirmed and probable,Winnebago County,11,11,0,14045
2020/3/17/,confirmed and probable,Winnebago County,14,12,2,14045
2020/3/18/,confirmed and probable,Winnebago County,16,14,2,14045
2020/3/19/,confirmed and probable,Winnebago County,18,15,3,14045
2020/3/20/,confirmed and probable,Winnebago County,18,15,3,14045
2020/3/21/,confirmed and probable,Winnebago County,18,15,3,14045
2020/3/22/,confirmed and probable,Winnebago County,19,16,3,14045
2020/3/23/,confirmed and probable,Winnebago County,24,19,5,14045
2020/3/24/,confirmed and probable,Winnebago County,25,19,6,14045
2020/3/25/,confirmed and probable,Winnebago County,26,20,6,14045
2020/3/26/,confirmed and probable,Winnebago County,31,24,7,14045
2020/3/27/,confirmed and probable,Winnebago County,31,24,7,14045
2020/3/28/,confirmed and probable,Winnebago County,31,24,7,14045
2020/3/29/,confirmed and probable,Winnebago County,33,25,8,14045
2020/3/30/,confirmed and probable,Winnebago County,33,25,8,14045
2020/3/31/,confirmed and probable,Winnebago County,33,25,8,14045
2020/4/1/,confirmed and probable,Winnebago County,34,26,8,14045
2020/4/2/,confirmed and probable,Winnebago County,34,26,8,14045
2020/4/3/,confirmed and probable,Winnebago County,37,29,8,14045
2020/4/4/,confirmed and probable,Winnebago County,39,31,8,14045
2020/4/5/,confirmed and probable,Winnebago County,39,31,8,14045
2020/4/6/,confirmed and probable,Winnebago County,40,31,9,14045
2020/4/7/,confirmed and probable,Winnebago County,43,33,10,14045
2020/4/8/,confirmed and probable,Winnebago County,45,35,10,14045
2020/4/9/,confirmed and probable,Winnebago County,45,35,10,14045
2020/4/10/,confirmed and probable,Winnebago County,48,38,10,14045
2020/4/11/,confirmed and probable,Winnebago County,49,39,10,14045
2020/4/12/,confirmed and probable,Winnebago County,50,40,10,14045
2020/4/13/,confirmed and probable,Winnebago County,53,43,10,14045
2020/4/14/,confirmed and probable,Winnebago County,56,46,10,14045
2020/4/15/,confirmed and probable,Winnebago County,60,47,13,14045
2020/4/16/,confirmed and probable,Winnebago County,61,48,13,14045
2020/4/17/,confirmed and probable,Winnebago County,62,49,13,14045
2020/4/18/,confirmed and probable,Winnebago County,65,52,13,14045
2020/4/19/,confirmed and probable,Winnebago County,66,53,13,14045
2020/4/20/,confirmed and probable,Winnebago County,68,55,13,14045
2020/4/21/,confirmed and probable,Winnebago County,72,59,13,14045
2020/4/22/,confirmed and probable,Winnebago County,76,62,14,14045
2020/4/23/,confirmed and probable,Winnebago County,79,65,14,14045
2020/4/24/,confirmed and probable,Winnebago County,82,68,14,14045
2020/4/25/,confirmed and probable,Winnebago County,83,69,14,14045
2020/4/26/,confirmed and probable,Winnebago County,86,72,14,14045
2020/4/27/,confirmed and probable,Winnebago County,90,75,15,14045
2020/4/28/,confirmed and probable,Winnebago County,94,78,16,14045
2020/4/29/,confirmed and probable,Winnebago County,99,83,16,14045
2020/4/30/,confirmed and probable,Winnebago County,108,89,19,14045
2020/5/1/,confirmed and probable,Winnebago County,115,96,19,14045
2020/5/2/,confirmed and probable,Winnebago County,117,98,19,14045
2020/5/3/,confirmed and probable,Winnebago County,119,100,19,14045
2020/5/4/,confirmed and probable,Winnebago County,125,105,20,14045
2020/5/5/,confirmed and probable,Winnebago County,129,108,21,14045
2020/5/6/,confirmed and probable,Winnebago County,133,112,21,14045
2020/5/7/,confirmed and probable,Winnebago County,135,114,21,14045
2020/5/8/,confirmed and probable,Winnebago County,136,115,21,14045
